ad_date,campaign_name,value,prev_value,cur_prev_diff
2021-01-01,Brand,59,,
2021-01-06,Brand,7,59,-52
2021-01-07,Brand,474,7,467
2021-01-08,Brand,139,474,-335
2021-01-12,Brand,381,139,242
2021-01-13,Brand,220,381,-161
2021-01-14,Brand,76,220,-144
2021-01-15,Brand,365,76,289
2021-01-16,Brand,281,365,-84
2021-01-18,Brand,360,281,79
2021-01-19,Brand,102,360,-258
2021-01-20,Brand,371,102,269
2021-01-21,Brand,287,371,-84
2021-01-22,Brand,215,287,-72
2021-01-24,Brand,13,215,-202
2021-01-26,Brand,136,13,123
2021-01-27,Brand,608,136,472
2021-01-27,Brand,210,608,-398
2021-01-28,Brand,110,210,-100
2021-01-01,Discounts,0,,
2021-01-02,Discounts,690,0,690
2021-01-04,Discounts,6847,690,6157
2021-01-05,Discounts,6168,6847,-679
2021-01-06,Discounts,14590,6168,8422
2021-01-07,Discounts,17820,14590,3230
2021-01-08,Discounts,8364,17820,-9456
2021-01-09,Discounts,4094,8364,-4270
2021-01-10,Discounts,1586,4094,-2508
2021-01-11,Discounts,3244,1586,1658
2021-01-12,Discounts,21600,3244,18356
2021-01-13,Discounts,5221,21600,-16379
2021-01-15,Discounts,13014,5221,7793
2021-01-16,Discounts,12104,13014,-910
2021-01-17,Discounts,5809,12104,-6295
2021-01-18,Discounts,2602,5809,-3207
2021-01-19,Discounts,1402,2602,-1200
2021-01-20,Discounts,2648,1402,1246
2021-01-21,Discounts,2510,2648,-138
2021-01-22,Discounts,3386,2510,876
2021-01-23,Discounts,710,3386,-2676
2021-01-24,Discounts,2323,710,1613
2021-01-25,Discounts,2405,2323,82
2021-01-26,Discounts,1534,2405,-871
2021-01-27,Discounts,1956,1534,422
2021-01-28,Discounts,2850,1956,894
2021-01-29,Discounts,1282,2850,-1568
2021-01-31,Discounts,1261,1282,-21
